Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,NLL Score
blobs,linear,0.005,0.105,10,0.05,100,tensor(1.0261)
blobs,linear,0.005,0.105,50,0.05,100,tensor(2.5455)
blobs,linear,0.005,0.105,100,0.05,100,tensor(2.9113)
blobs,linear,0.005,0.105,150,0.05,100,tensor(1.5816)
blobs,linear,0.005,0.105,200,0.05,100,tensor(6.4066)
blobs,sigmoid,0.005,0.105,10,0.05,100,tensor(0.4454)
blobs,sigmoid,0.005,0.105,50,0.05,100,tensor(2.2858)
blobs,sigmoid,0.005,0.105,100,0.05,100,tensor(3.1970)
blobs,sigmoid,0.005,0.105,150,0.05,100,tensor(5.1088)
blobs,sigmoid,0.005,0.105,200,0.05,100,tensor(1.6833)
blobs,cosine,0.005,0.105,10,0.05,100,tensor(0.4355)
blobs,cosine,0.005,0.105,50,0.05,100,tensor(2.3026)
blobs,cosine,0.005,0.105,100,0.05,100,tensor(1.2831)
blobs,cosine,0.005,0.105,150,0.05,100,tensor(1.2319)
blobs,cosine,0.005,0.105,200,0.05,100,tensor(1.4516)
blobs,linear,0.005,0.1,50,0.1,100,N/A
blobs,cosine,0.005,0.1,50,0.1,100,N/A
blobs,sigmoid,0.001,0.02,150,0.1,100,N/A
blobs,sigmoid,0.01,0.2,100,0.1,100,N/A
blobs,linear,0.001,0.02,10,0.1,100,N/A
blobs,linear,0.005,0.1,200,0.1,100,N/A
blobs,linear,0.001,0.02,150,0.1,100,N/A
blobs,linear,0.01,0.2,100,0.1,100,N/A
blobs,cosine,0.001,0.02,150,0.1,100,N/A
blobs,sigmoid,0.001,0.02,10,0.1,100,N/A
blobs,cosine,0.001,0.02,10,0.1,100,N/A
blobs,sigmoid,0.005,0.1,200,0.1,100,N/A
blobs,sigmoid,0.005,0.1,50,0.1,100,N/A
blobs,cosine,0.005,0.1,200,0.1,100,N/A
blobs,cosine,0.01,0.2,100,0.1,100,N/A
blobs,sigmoid,0.001,0.02,150,0.1,200,N/A
blobs,cosine,0.005,0.1,50,0.1,200,N/A
blobs,linear,0.005,0.1,50,0.1,200,N/A
blobs,linear,0.001,0.02,10,0.1,200,N/A
blobs,linear,0.01,0.2,100,0.1,200,N/A
blobs,linear,0.005,0.1,200,0.1,200,N/A
blobs,sigmoid,0.01,0.2,100,0.1,200,N/A
blobs,cosine,0.001,0.02,150,0.1,200,N/A
blobs,sigmoid,0.005,0.1,50,0.1,200,N/A
blobs,linear,0.001,0.02,150,0.1,200,N/A
blobs,cosine,0.001,0.02,10,0.1,200,N/A
blobs,sigmoid,0.001,0.02,10,0.1,200,N/A
blobs,sigmoid,0.005,0.1,200,0.1,200,N/A
blobs,cosine,0.005,0.1,200,0.1,200,N/A
blobs,cosine,0.01,0.2,100,0.1,200,N/A
blobs,linear,0.005,0.1,200,0.01,100,N/A
blobs,linear,0.001,0.02,10,0.01,100,N/A
blobs,linear,0.005,0.1,50,0.01,100,N/A
blobs,cosine,0.005,0.1,50,0.01,100,N/A
blobs,linear,0.001,0.02,150,0.01,100,N/A
blobs,sigmoid,0.001,0.02,150,0.01,100,N/A
blobs,linear,0.01,0.2,100,0.01,100,N/A
blobs,cosine,0.001,0.02,10,0.01,100,N/A
blobs,sigmoid,0.005,0.1,200,0.01,100,N/A
blobs,cosine,0.01,0.2,100,0.01,100,N/A
blobs,sigmoid,0.01,0.2,100,0.01,100,N/A
